Model,Method,Replicate,RF,FN,FP
1000M1,Original GTM (FastTree guide + FastTree subset),R14,186.0,0.09327983951855567,0.09327983951855567
1000M1,Original GTM (FastTree guide + FastTree subset),R13,202.0,0.10130391173520562,0.10130391173520562
1000M1,Original GTM (FastTree guide + FastTree subset),R12,243.0,0.12072434607645875,0.12337011033099297
1000M1,Original GTM (FastTree guide + FastTree subset),R15,185.0,0.09154929577464789,0.09428284854563691
1000M1,Original GTM (FastTree guide + FastTree subset),R7,257.0,0.12701612903225806,0.13139418254764293
1000M1,Original GTM (FastTree guide + FastTree subset),R0,177.0,0.08835341365461848,0.08926780341023069
1000M1,Original GTM (FastTree guide + FastTree subset),R9,225.0,0.11167002012072434,0.11434302908726178
1000M1,Original GTM (FastTree guide + FastTree subset),R8,245.0,0.12096774193548387,0.12537612838515547
1000M1,Original GTM (FastTree guide + FastTree subset),R1,218.0,0.10696266397578204,0.1123370110330993
1000M1,Original GTM (FastTree guide + FastTree subset),R6,222.0,0.10976837865055387,0.11334002006018054
1000M1,Original GTM (FastTree guide + FastTree subset),R10,188.0,0.09274193548387097,0.0963855421686747
1000M1,Original GTM (FastTree guide + FastTree subset),R17,192.0,0.09547738693467336,0.09729187562688064
1000M1,Original GTM (FastTree guide + FastTree subset),R19,236.0,0.11681772406847936,0.12036108324974924
1000M1,Original GTM (FastTree guide + FastTree subset),R18,237.0,0.11693548387096774,0.1213640922768305
1000M1,Original GTM (FastTree guide + FastTree subset),R16,298.0,0.14803625377643503,0.1514543630892678
1000M1,Original GTM (FastTree guide + FastTree subset),R11,212.0,0.10473313192346426,0.10832497492477432
1000M1,Original GTM (FastTree guide + FastTree subset),R3,194.0,0.09566968781470292,0.09929789368104312
1000M1,Original GTM (FastTree guide + FastTree subset),R4,279.0,0.13824419778002017,0.142570281124498
1000M1,Original GTM (FastTree guide + FastTree subset),R5,186.0,0.09164149043303121,0.09528585757271815
1000M1,Original GTM (FastTree guide + FastTree subset),R2,214.0,0.10574018126888217,0.10932798395185557
1000M4,Original GTM (FastTree guide + FastTree subset),R14,149.0,0.0646817248459959,0.08625877632898696
1000M4,Original GTM (FastTree guide + FastTree subset),R13,113.0,0.04338842975206612,0.0712136409227683
1000M4,Original GTM (FastTree guide + FastTree subset),R12,109.0,0.04878048780487805,0.06118355065195587
1000M4,Original GTM (FastTree guide + FastTree subset),R15,134.0,0.05005213764337852,0.08625877632898696
1000M4,Original GTM (FastTree guide + FastTree subset),R7,144.0,0.06345957011258956,0.08224674022066199
1000M4,Original GTM (FastTree guide + FastTree subset),R0,151.0,0.06391752577319587,0.08926780341023069
1000M4,Original GTM (FastTree guide + FastTree subset),R9,114.0,0.04437564499484004,0.0712136409227683
1000M4,Original GTM (FastTree guide + FastTree subset),R8,115.0,0.05091649694501019,0.06519558676028084
1000M4,Original GTM (FastTree guide + FastTree subset),R1,89.0,0.03483606557377049,0.055165496489468405
1000M4,Original GTM (FastTree guide + FastTree subset),R6,130.0,0.05720122574055159,0.07422266800401203
1000M4,Original GTM (FastTree guide + FastTree subset),R10,126.0,0.05515832482124617,0.07221664994984955
1000M4,Original GTM (FastTree guide + FastTree subset),R17,124.0,0.054136874361593465,0.0712136409227683
1000M4,Original GTM (FastTree guide + FastTree subset),R19,127.0,0.053388090349075976,0.07522567703109329
1000M4,Original GTM (FastTree guide + FastTree subset),R18,151.0,0.06301652892561983,0.09027081243731194
1000M4,Original GTM (FastTree guide + FastTree subset),R16,118.0,0.04923076923076923,0.07021063189568706
1000M4,Original GTM (FastTree guide + FastTree subset),R11,147.0,0.0663265306122449,0.08224674022066199
1000M4,Original GTM (FastTree guide + FastTree subset),R3,134.0,0.05192107995846314,0.08425275827482448
1000M4,Original GTM (FastTree guide + FastTree subset),R4,125.0,0.049586776859504134,0.07723169508525576
1000M4,Original GTM (FastTree guide + FastTree subset),R5,121.0,0.05122950819672131,0.0712136409227683
1000M4,Original GTM (FastTree guide + FastTree subset),R2,116.0,0.04257528556593977,0.07522567703109329
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R14,392.0,0.19658976930792377,0.19658976930792377
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R13,442.0,0.22166499498495487,0.22166499498495487
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R12,518.0,0.2595573440643863,0.26104417670682734
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R15,410.0,0.2052313883299799,0.20682730923694778
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R7,486.0,0.24294354838709678,0.2459839357429719
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R0,441.0,0.22088353413654618,0.22166499498495487
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R9,449.0,0.2243460764587525,0.22668004012036108
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R8,479.0,0.23891129032258066,0.242728184553661
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R1,444.0,0.2209889001009082,0.22567703109327983
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R6,444.0,0.2215508559919436,0.2246740220661986
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R10,456.0,0.22782258064516128,0.23092369477911648
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R17,408.0,0.20402010050251257,0.20561685055165496
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R19,500.0,0.2497482376636455,0.25275827482447344
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R18,424.0,0.21169354838709678,0.21485943775100402
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R16,550.0,0.27492447129909364,0.2778335005015045
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R11,522.0,0.2608257804632427,0.2637913741223671
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R3,478.0,0.23867069486404835,0.24172517552657974
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R4,553.0,0.27648839556004035,0.28012048192771083
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R5,368.0,0.18328298086606243,0.18655967903711135
1000M1,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R2,433.0,0.21651560926485397,0.21887550200803213
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R14,279.0,0.13141683778234087,0.1514543630892678
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R13,239.0,0.10847107438016529,0.13440320962888666
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R12,261.0,0.12601626016260162,0.1374122367101304
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R15,252.0,0.11157455683003129,0.14543630892678033
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R7,274.0,0.1299897645854657,0.14744232698094284
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R0,255.0,0.11752577319587629,0.14142427281845538
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R9,232.0,0.10526315789473684,0.13039117352056168
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R8,267.0,0.12830957230142567,0.14142427281845538
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R1,241.0,0.11270491803278689,0.13139418254764293
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R6,284.0,0.13585291113381,0.1514543630892678
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R10,256.0,0.12155260469867211,0.1374122367101304
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R17,276.0,0.1317671092951992,0.14744232698094284
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R19,217.0,0.09958932238193019,0.12036108324974924
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R18,303.0,0.1415289256198347,0.16649949849548645
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R16,222.0,0.10256410256410256,0.12236710130391174
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R11,286.0,0.1377551020408163,0.15160642570281124
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R3,224.0,0.09865005192107996,0.12938816449348045
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R4,233.0,0.10537190082644628,0.13139418254764293
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R5,279.0,0.13217213114754098,0.15045135406218657
1000M4,Hybrid GTM 1 (FastTree guide + NJ-LogDet subset),R2,246.0,0.11007268951194185,0.14042126379137412
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R14,197.0,0.09929789368104312,0.09839357429718876
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R13,257.0,0.12938816449348045,0.1285140562248996
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R12,267.0,0.13279678068410464,0.1354062186559679
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R15,203.0,0.10160965794768612,0.10251256281407035
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R7,264.0,0.1310483870967742,0.13453815261044177
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R0,187.0,0.09337349397590361,0.09428284854563691
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R9,258.0,0.12877263581488935,0.13052208835341367
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R8,245.0,0.12096774193548387,0.12537612838515547
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R1,241.0,0.11907164480322906,0.12349397590361445
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R6,228.0,0.11278952668680765,0.11634904714142427
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R10,224.0,0.11189516129032258,0.11368209255533199
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R17,206.0,0.10452261306532663,0.1027190332326284
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R19,269.0,0.1339375629405841,0.13654618473895583
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R18,260.0,0.12903225806451613,0.13253012048192772
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R16,336.0,0.16717019133937563,0.17051153460381144
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R11,260.0,0.1299093655589124,0.13165829145728644
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R3,247.0,0.1228600201409869,0.12550200803212852
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R4,314.0,0.15640766902119072,0.15979899497487438
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R5,220.0,0.10976837865055387,0.11155778894472362
1000M1,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R2,241.0,0.11983887210473314,0.12248995983935743
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R14,151.0,0.06570841889117043,0.08726178535606821
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R13,113.0,0.04338842975206612,0.0712136409227683
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R12,131.0,0.059959349593495935,0.07221664994984955
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R15,142.0,0.054223149113660066,0.09027081243731194
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R7,146.0,0.06448311156601842,0.08324974924774323
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R0,159.0,0.06804123711340206,0.09327983951855567
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R9,118.0,0.04643962848297214,0.0732196589769308
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R8,119.0,0.05295315682281059,0.06720160481444333
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R1,107.0,0.04405737704918033,0.0641925777331996
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R6,140.0,0.06230847803881512,0.07923771313941826
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R10,136.0,0.0602655771195097,0.07723169508525576
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R17,130.0,0.05720122574055159,0.07422266800401203
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R19,145.0,0.06262833675564682,0.08425275827482448
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R18,147.0,0.060950413223140494,0.08826479438314945
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R16,120.0,0.050256410256410255,0.0712136409227683
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R11,148.0,0.0673469387755102,0.0823293172690763
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R3,136.0,0.0529595015576324,0.08525576730190572
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R4,131.0,0.05268595041322314,0.0802407221664995
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R5,127.0,0.05430327868852459,0.07422266800401203
1000M4,Hybrid GTM 2 (NJ-LogDet guide + FastTree subset),R2,118.0,0.04361370716510903,0.07622868605817452
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R14,411.0,0.20661985957873621,0.20582329317269077
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R13,488.0,0.24473420260782347,0.24473420260782347
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R12,547.0,0.27364185110663986,0.275827482447342
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R15,412.0,0.2062374245472837,0.20783132530120482
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R7,496.0,0.24798387096774194,0.25100401606425704
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R0,461.0,0.23092369477911648,0.2316950852557673
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R9,479.0,0.23943661971830985,0.24172517552657974
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R8,503.0,0.25100806451612906,0.2547642928786359
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R1,455.0,0.22704339051463168,0.23092369477911648
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R6,496.0,0.24773413897280966,0.25075225677031093
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R10,472.0,0.23588709677419356,0.2389558232931727
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R17,420.0,0.21105527638190955,0.21105527638190955
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R19,506.0,0.2527693856998993,0.25576730190571717
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R18,451.0,0.2247983870967742,0.22868605817452356
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R16,604.0,0.3021148036253776,0.3049147442326981
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R11,513.0,0.256797583081571,0.25903614457831325
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R3,504.0,0.25176233635448136,0.2547642928786359
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R4,574.0,0.2875882946518668,0.2904522613065327
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R5,426.0,0.2134944612286002,0.2150753768844221
1000M1,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R2,435.0,0.2175226586102719,0.21987951807228914
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R14,293.0,0.13860369609856263,0.1584754262788365
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R13,239.0,0.10847107438016529,0.13440320962888666
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R12,265.0,0.12804878048780488,0.13941825476429287
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R15,264.0,0.11783107403545359,0.1514543630892678
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R7,276.0,0.13101330603889458,0.14844533600802406
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R0,269.0,0.12474226804123711,0.14844533600802406
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R9,220.0,0.09907120743034056,0.12437311935807423
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R8,263.0,0.12627291242362526,0.13941825476429287
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R1,249.0,0.1168032786885246,0.1354062186559679
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R6,310.0,0.1491317671092952,0.16449348044132397
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R10,266.0,0.12665985699693566,0.1424272818455366
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R17,280.0,0.1338100102145046,0.14944834503510532
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R19,221.0,0.10164271047227925,0.12236710130391174
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R18,303.0,0.1415289256198347,0.16649949849548645
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R16,228.0,0.10564102564102563,0.12537612838515547
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R11,285.0,0.13673469387755102,0.1514543630892678
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R3,230.0,0.10176531671858775,0.13239719157472418
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R4,241.0,0.10950413223140495,0.1354062186559679
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R5,269.0,0.12704918032786885,0.14543630892678033
1000M4,Hybrid GTM 3 (NJ-LogDet guide + NJ-LogDet subset),R2,248.0,0.1111111111111111,0.14142427281845538
